Surface,Chambres,SallesDeBain,AnneeConstruction,Ville,TypeMaison,Garage,Jardin,DistanceCentre,Prix
78.0,6,2,1986,Marseille,Loft,Non,Non,27.2,376825
38.0,1,3,2014,Marseille,Appartement,Oui,Non,23.2,204371
,4,3,2014,Lille,Appartement,Oui,Oui,28.4,804057
201.0,2,3,1964,Marseille,Loft,Oui,Non,4.3,768458
35.0,3,1,1991,Paris,Maison,Non,Oui,27.8,431981
85.0,2,1,2012,Paris,Appartement,Non,Non,24.2,531458
93.0,2,3,1973,Toulouse,Appartement,Non,Oui,6.4,406827
142.0,3,2,1989,Lyon,Appartement,Oui,Non,10.2,687955
96.0,3,3,2011,Lille,Maison,Oui,Oui,26.4,410740
91.0,2,3,1993,Paris,Appartement,Non,Non,22.0,518747
,1,2,1984,Marseille,Appartement,Non,Oui,15.8,626222
162.0,6,3,1985,Marseille,Maison,Oui,Non,18.9,674636
101.0,5,2,2012,Marseille,Maison,Non,Oui,6.2,502457
195.0,4,3,1982,Lille,Loft,Non,Non,16.7,785921
,5,3,2001,Toulouse,Maison,Non,Oui,15.6,627563
213.0,2,3,1970,Marseille,Loft,Non,Oui,24.6,785421
82.0,2,1,1963,Paris,Appartement,Non,Oui,13.9,460308
186.0,5,1,2009,Toulouse,Maison,Oui,Oui,19.9,824943
52.0,4,1,1982,Lille,Maison,Oui,Oui,27.6,297142
56.0,4,1,2019,Lille,Loft,Non,Non,18.6,299376
165.0,4,1,2020,Toulouse,Maison,Oui,Non,23.1,644345
158.0,4,3,1990,Marseille,Maison,Oui,Non,7.4,652521
45.0,2,1,1989,Toulouse,Loft,Oui,Oui,2.4,377924
129.0,3,3,2019,Toulouse,Appartement,Oui,Non,12.0,586294
30.0,5,2,2021,Paris,Maison,Non,Non,25.7,314313
132.0,5,3,1988,Toulouse,Appartement,Non,Non,14.8,531238
128.0,6,1,2019,Lyon,Loft,Oui,Non,18.0,647777
194.0,1,1,2014,Lyon,Maison,Oui,Oui,8.2,824867
111.0,4,2,2013,Marseille,Appartement,Non,Oui,22.6,498413
38.0,3,1,1968,Paris,Appartement,Oui,Oui,25.3,345332
146.0,6,1,1987,Toulouse,Loft,Non,Non,5.4,621904
180.0,6,3,1974,Lyon,Maison,Oui,Oui,27.9,732005
121.0,4,3,1985,Paris,Loft,Oui,Oui,21.1,667904
102.0,6,3,1975,Lille,Appartement,Non,Non,20.0,487222
28.0,4,2,1973,Toulouse,Maison,Non,Oui,13.3,275040
212.0,5,3,1994,Lille,Loft,Non,Non,13.3,835329
87.0,1,2,2017,Lyon,Maison,Non,Non,1.3,472101
108.0,2,2,1987,Marseille,Maison,Non,Non,26.5,425566
27.0,5,1,1970,Lyon,Loft,Non,Non,16.9,228151
86.0,6,2,2022,Toulouse,Appartement,Oui,Non,7.0,456525
173.0,3,2,2004,Toulouse,Loft,Non,Non,21.2,656644
94.0,3,2,1989,Paris,Loft,Oui,Non,4.0,568740
72.0,2,1,2021,Marseille,Loft,Non,Oui,25.1,322789
100.0,2,2,1982,Marseille,Appartement,Oui,Non,1.8,474989
57.0,6,2,1973,Paris,Loft,Non,Non,14.6,482778
112.0,2,1,1992,Toulouse,Appartement,Oui,Non,15.0,429456
63.0,2,3,1998,Paris,Appartement,Oui,Non,18.4,450342
183.0,2,3,2008,Toulouse,Maison,Non,Non,9.5,728037
214.0,1,1,1987,Marseille,Loft,Oui,Oui,7.6,793939
166.0,1,1,1960,Toulouse,Maison,Non,Non,1.5,661650
141.0,1,3,1989,Marseille,Loft,Oui,Non,3.9,628709
82.0,6,1,1994,Lyon,Appartement,Oui,Oui,23.9,396390
98.0,4,1,2019,Marseille,Loft,Non,Non,15.3,407393
151.0,4,1,1965,Toulouse,Loft,Non,Non,1.3,642383
172.0,5,1,1994,Lille,Appartement,Oui,Non,15.8,719442
138.0,3,1,2015,Toulouse,Appartement,Non,Non,12.5,557761
66.0,3,2,2023,Marseille,Loft,Non,Oui,13.9,376670
,3,2,1974,Toulouse,Loft,Oui,Non,12.7,495116
218.0,4,3,2016,Paris,Appartement,Non,Oui,27.9,998123
137.0,6,2,1975,Paris,Loft,Oui,Oui,9.7,807255
82.0,1,2,1975,Lyon,Maison,Non,Non,12.8,432536
148.0,4,1,2018,Lille,Appartement,Non,Oui,27.7,513737
42.0,3,2,2003,Lille,Maison,Oui,Non,21.9,270957
175.0,5,3,2022,Lyon,Maison,Non,Non,10.3,803609
107.0,2,3,1990,Lille,Maison,Oui,Non,1.8,500800
215.0,4,3,2008,Toulouse,Loft,Oui,Non,29.0,887079
109.0,1,2,1972,Lille,Maison,Oui,Oui,12.6,553741
192.0,2,1,2020,Marseille,Maison,Non,Oui,25.6,762029
122.0,3,3,2022,Lille,Appartement,Oui,Oui,19.1,499098
98.0,2,3,1971,Toulouse,Appartement,Oui,Non,5.4,460376
108.0,1,2,2005,Marseille,Maison,Oui,Oui,16.2,499523
169.0,6,1,1981,Lyon,Appartement,Non,Oui,15.2,702402
188.0,3,2,1992,Paris,Maison,Non,Oui,2.7,925967
113.0,5,2,2014,Marseille,Maison,Non,Oui,30.0,504214
122.0,5,2,1997,Marseille,Appartement,Non,Non,0.7,529801
200.0,6,1,2023,Marseille,Appartement,Non,Oui,19.3,738511
209.0,6,3,1977,Paris,Loft,Oui,Non,23.8,935709
33.0,5,2,1976,Paris,Maison,Non,Non,5.7,448550
118.0,5,3,1994,Lyon,Maison,Non,Non,22.5,601926
111.0,1,2,1969,Lyon,Appartement,Non,Non,3.2,495160
56.0,4,2,1993,Lille,Maison,Non,Oui,20.4,343161
145.0,1,3,2001,Lille,Appartement,Oui,Non,27.3,545352
60.0,1,1,1998,Toulouse,Appartement,Oui,Oui,26.7,316346
59.0,4,2,2007,Lille,Maison,Oui,Non,19.8,364625
96.0,1,3,2007,Lyon,Maison,Non,Oui,25.7,452568
50.0,6,2,2005,Paris,Maison,Non,Oui,29.1,512842
48.0,6,1,1962,Paris,Maison,Oui,Oui,23.7,430734
77.0,1,3,1986,Lille,Appartement,Oui,Non,23.3,349861
95.0,2,1,1992,Lyon,Appartement,Oui,Oui,0.9,469545
85.0,5,2,1962,Lyon,Maison,Oui,Oui,22.4,425023
146.0,4,2,1973,Toulouse,Loft,Oui,Oui,22.0,609600
193.0,5,2,2018,Paris,Appartement,Non,Non,13.1,944727
,1,1,2001,Lille,Appartement,Oui,Oui,8.6,603320
187.0,5,3,2001,Toulouse,Loft,Non,Non,15.4,718187
54.0,6,3,1987,Toulouse,Maison,Oui,Non,10.5,401664
141.0,4,2,1972,Marseille,Maison,Non,Non,11.5,623463
42.0,1,1,1971,Toulouse,Appartement,Non,Oui,16.9,281263
175.0,5,3,2002,Paris,Maison,Non,Non,26.1,837490
178.0,3,2,1973,Lille,Loft,Oui,Oui,19.9,629794
82.0,1,2,2007,Paris,Maison,Oui,Non,25.4,584109
182.0,6,3,1963,Lille,Loft,Non,Oui,5.8,762575
204.0,3,2,2004,Paris,,Oui,Non,2.6,956755
48.0,6,3,1987,Toulouse,Maison,Non,Non,5.1,278330
104.0,6,2,1970,Paris,Appartement,Oui,Oui,20.4,615684
149.0,5,2,2013,Marseille,Appartement,Oui,Non,13.2,663058
97.0,6,3,2022,,Loft,Non,Oui,7.0,535922
,3,1,1977,Marseille,Maison,Non,Oui,0.7,406167
216.0,4,1,1976,Toulouse,Loft,Oui,Non,2.6,867397
29.0,4,1,2000,Lille,Maison,Non,Non,9.0,237566
128.0,1,2,1981,Lille,Maison,Non,Oui,13.4,571850
127.0,5,1,2010,Marseille,Loft,Non,Oui,10.3,585456
68.0,1,3,1974,Lille,Loft,Oui,Non,10.9,398072
62.0,2,1,1978,Marseille,Appartement,Oui,Oui,22.9,269940
192.0,1,1,2023,Toulouse,Loft,Non,Non,26.0,698934
42.0,4,2,1998,Marseille,Loft,Oui,Non,15.5,263346
104.0,4,2,1964,Paris,Maison,Non,Oui,19.5,632970
177.0,5,2,2019,Lille,Loft,Oui,Non,27.3,704800
171.0,6,1,2001,Lille,Maison,Oui,Oui,13.8,757571
207.0,1,3,1982,Paris,Appartement,Non,Non,16.0,854366
181.0,2,2,2007,Marseille,Maison,Non,Non,20.5,731533
110.0,1,2,1972,Lille,Loft,Non,Non,7.9,483936
193.0,5,1,2002,Paris,Loft,Oui,Non,9.7,906752
58.0,5,3,1970,Marseille,Loft,Non,Non,24.5,258633
196.0,6,3,1971,Toulouse,Loft,Non,Oui,11.2,825538
149.0,2,1,1977,Lyon,Appartement,Non,Oui,15.5,641412
163.0,6,3,1964,Marseille,Loft,Oui,Non,5.1,719254
184.0,2,3,2016,Paris,Maison,Non,Oui,29.1,915862
181.0,3,3,2017,Lyon,Loft,Oui,Non,29.0,774116
74.0,3,3,2016,Toulouse,Maison,Non,Non,29.0,308865
76.0,5,1,1992,Paris,Loft,Non,Non,16.9,565327
56.0,3,1,1980,Marseille,Maison,Oui,Non,3.2,367062
81.0,4,2,1963,,Appartement,Non,Non,7.5,417015
32.0,3,1,2002,Lyon,Appartement,Oui,Non,27.6,234400
145.0,6,1,2020,Toulouse,Loft,Oui,Oui,1.1,697906
211.0,5,3,2014,Paris,Maison,Oui,Non,4.1,1059628
86.0,4,3,2018,Paris,Appartement,Non,Oui,19.1,529893
99.0,4,1,2005,Lyon,Loft,Non,Oui,20.1,479350
46.0,5,2,1968,Lille,Loft,Oui,Non,26.3,293021
120.0,3,3,1962,Marseille,Appartement,Non,Oui,,485766
185.0,1,3,2002,Lyon,Appartement,Non,Non,24.5,749394
143.0,6,2,1983,Lyon,Appartement,Non,Oui,9.2,712569
36.0,2,1,2000,Marseille,Loft,Non,Non,8.0,233604
116.0,1,3,2002,Marseille,Appartement,Non,Non,26.7,419916
215.0,4,2,2003,Lyon,Maison,Non,Non,27.8,802475
211.0,4,1,2015,Lille,Appartement,Non,Non,3.5,811436
108.0,6,2,1999,Toulouse,Loft,Non,Oui,20.8,507843
115.0,5,2,1995,Paris,Appartement,Non,Non,15.6,647590
216.0,6,1,1963,Lyon,Loft,Non,Oui,4.2,913995
117.0,4,3,1964,Lille,Appartement,Non,Non,11.5,538668
220.0,1,3,1977,Lille,Maison,Non,Non,19.7,817286
213.0,2,2,2009,Lille,Appartement,Non,Non,21.3,787572
,5,2,2022,Lyon,Appartement,Oui,Oui,13.8,502482
47.0,6,2,2004,Paris,Loft,Non,Non,25.6,411044
207.0,6,3,1982,Marseille,Loft,Oui,Oui,29.6,812161
151.0,1,2,2007,Toulouse,Loft,Oui,Oui,2.4,654414
126.0,6,3,2021,Lille,Maison,Non,Oui,4.2,630385
144.0,6,3,2004,Lyon,Loft,Oui,Oui,13.3,727298
39.0,1,3,1979,Marseille,Appartement,Oui,Non,28.1,204230
157.0,3,1,1992,Lyon,Loft,Non,Oui,18.9,747115
182.0,5,1,2024,Lyon,Loft,Oui,Oui,19.9,792146
169.0,1,1,1970,Paris,Loft,Non,Oui,23.1,735847
131.0,5,3,1963,Toulouse,Loft,Non,Non,14.7,585312
101.0,4,1,1967,Lyon,Maison,Non,Non,,452267
112.0,5,1,2000,Marseille,Loft,Non,Non,4.4,482929
106.0,2,2,1975,Marseille,Maison,Oui,Oui,3.4,539197
99.0,4,3,2013,Lyon,Appartement,Non,Non,6.1,579778
144.0,4,2,2023,Paris,Appartement,Non,Non,29.0,789694
80.0,5,2,1966,Paris,Maison,Non,Non,8.9,575039
59.0,3,3,2006,Toulouse,Maison,Oui,Non,2.0,402535
168.0,2,2,1996,Paris,Maison,Non,Non,24.8,764127
,1,2,2007,Marseille,Loft,Non,Oui,6.4,301072
155.0,4,3,1965,Paris,Appartement,Oui,Non,24.2,734088
156.0,2,2,2000,Lyon,Maison,Non,Non,15.5,678385
155.0,5,2,1998,Toulouse,Appartement,Non,Non,20.4,657401
210.0,6,3,1963,Lille,Maison,Non,Oui,21.8,825997
174.0,4,1,2008,Lyon,Loft,Oui,Oui,17.4,758329
137.0,3,2,1979,Toulouse,Loft,Oui,Non,,564065
181.0,4,3,1967,Lyon,Loft,Oui,Non,29.9,712042
69.0,4,3,2003,Lille,Maison,Non,Non,6.2,408753
88.0,3,3,1998,Lyon,Maison,Non,Oui,20.9,452133
168.0,6,2,1996,Paris,Loft,Non,Non,24.6,818468
62.0,3,1,1996,Paris,,Non,Non,22.5,468778
94.0,5,3,1994,Lyon,Appartement,Oui,Oui,2.0,606650
160.0,2,3,1989,Paris,,Non,Non,21.7,795804
26.0,5,1,2012,Toulouse,Maison,Oui,Non,10.0,301609
190.0,1,1,1989,Lille,Loft,Oui,Oui,12.8,780079
34.0,4,2,1983,Marseille,Appartement,Oui,Non,17.3,158447
52.0,3,2,2018,Lille,Loft,Non,Oui,25.6,278159
53.0,3,1,2018,Marseille,Loft,Oui,Oui,22.2,306019
100.0,5,3,1984,Lyon,Loft,Non,Non,15.7,556912
72.0,2,2,2001,Lyon,Appartement,Non,Non,7.4,425535
217.0,3,2,1998,Lille,Loft,Oui,Non,19.8,823119
55.0,4,2,1980,Toulouse,Loft,Non,Oui,19.3,311693
100.0,3,3,1988,Lyon,Appartement,Non,Oui,13.9,536197
204.0,5,2,1987,,Loft,Oui,Non,16.1,853017
117.0,1,3,1974,Paris,Loft,Oui,Oui,5.4,714674
199.0,2,3,2022,Paris,Loft,Non,Oui,13.9,927387
156.0,4,2,1967,Lille,Maison,Non,Oui,12.2,676335
173.0,1,1,2014,Marseille,Loft,Oui,Oui,28.1,607963
42.0,4,1,1996,Toulouse,Appartement,Oui,Non,11.5,298044
121.0,4,1,1977,Marseille,Appartement,Oui,Non,16.1,463798
211.0,2,1,1962,,Maison,Non,Non,24.8,742632
95.0,2,3,1974,Paris,Loft,Non,Oui,7.6,639652
42.0,1,3,1964,Toulouse,Loft,Oui,Oui,22.3,249732
80.0,1,1,2024,Marseille,Appartement,Non,Non,7.5,371882
61.0,6,3,1988,Toulouse,Maison,Non,Oui,16.9,347933
69.0,6,3,2014,Lille,Maison,Oui,Non,28.3,359413
196.0,4,3,2000,Toulouse,Maison,Oui,Non,11.6,822143
82.0,3,3,1978,Toulouse,Appartement,Non,Non,,345181
59.0,4,1,1992,Lyon,Maison,Oui,Non,25.5,400323
73.0,1,2,2008,Lille,Loft,Oui,Oui,6.1,433791
219.0,5,3,1987,Toulouse,Appartement,Non,Non,28.7,878798
214.0,1,3,2021,,Loft,Oui,Non,27.5,862339
166.0,3,2,2008,Toulouse,Loft,Non,Non,8.2,657630
50.0,6,2,2000,Lyon,Maison,Non,Non,1.8,404670
81.0,6,1,1962,Marseille,Loft,Non,Non,5.0,383594
87.0,4,3,2003,Marseille,Maison,Non,Non,5.5,479860
